stage,stiffness_n_per_m32,dissipation_s_per_m,duration_s,duration_residual_s,trace_rmse,objective,passive
grid,5623413.251903491,0.025,0.002268403469888082,0.001268403469888082,0.40462945049109256,51.14076824601437,True
grid,5956621.435290109,0.025,0.0022167680399185746,0.0012167680399185745,0.40297144140307894,49.07369303814606,True
grid,6309573.44480193,0.025,0.0021663079757714538,0.0011663079757714538,0.401292301448659,47.0536113323068,True
grid,6683439.175686149,0.025,0.002116996522852864,0.0011169965228528642,0.39960730592790233,45.079468220042465,True
grid,7079457.843841373,0.025,0.002068807535577939,0.001068807535577939,0.39793651586121864,43.150237938978776,True
grid,7498942.093324558,0.025,0.002021715463507617,0.0010217154635076171,0.3963060475814294,41.26492458788611,True
grid,7943282.347242822,0.025,0.0019756953378018854,0.0009756953378018854,0.3946213525996402,39.422434864675054,True
grid,8413951.416451948,0.025,0.0019307227579809952,0.0009307227579809952,0.3922801975040925,37.621190516743894,True
grid,8912509.381337458,0.025,0.0018867738789878111,0.0008867738789878111,0.38994411947787727,35.86089927899032,True
grid,9440608.762859225,0.025,0.0018438253985449708,0.0008438253985449708,0.3867702617606979,34.139786203559524,True
grid,10000000.0,0.025,0.0018018545447996811,0.0008018545447996811,0.38339597710581,32.45757776909306,True
grid,10592537.251772897,0.025,0.0017608390642497754,0.0007608390642497753,0.37945347324849604,30.813016043239507,True
grid,11220184.54301963,0.025,0.0017207572099445902,0.0007207572099445902,0.37476358620063066,29.205051983984234,True
grid,11885022.27437019,0.025,0.001681587729954198,0.000681587729954198,0.36991146690472415,27.63342066507264,True
grid,12589254.117941663,0.025,0.0016433098561019395,0.0006433098561019395,0.3637384824206099,26.096132726498187,True
grid,13335214.32163324,0.025,0.0016059032929523441,0.0006059032929523441,0.35716746912697506,24.593299187220737,True
grid,14125375.446227554,0.025,0.001569348207050822,0.0005693482070508219,0.3500671828258463,23.123995464858723,True
grid,14962356.560944328,0.025,0.0015336252164068417,0.0005336252164068417,0.3414855157290806,21.686494172002746,True
grid,15848931.924611142,0.025,0.001498715380217631,0.0004987153802176311,0.33251300908090925,20.28112821778615,True
grid,16788040.18122559,0.025,0.0014646001888260324,0.0004646001888260324,0.32270448541617514,18.90671203845747,True
grid,17782794.100389227,0.025,0.0014312615539061385,0.00043126155390613846,0.31133369490928037,17.561795851154816,True
grid,18836490.89489802,0.025,0.001398681798872438,0.00039868179887243794,0.29946149165183655,16.246733446549353,True
grid,19952623.149688788,0.025,0.0013668436495071058,0.0003668436495071058,0.2867838006360665,14.960529780920297,True
